ID,AGE,INCOME,GENDER,MARITAL,NUMKIDS,NUMCARDS,HOWPAID,MORTGAGE,STORECAR,LOANS,RISK
100756,44,59944,m,married  ,1,2,monthly,y,2,0,good risk 
100668,35,59692,m,married  ,1,1,monthly,y,1,0,bad loss  
100416,34,59463,m,married  ,0,2,monthly,y,1,1,bad loss  
100590,39,59393,f,married  ,0,2,monthly,y,1,0,good risk 
100702,42,59201,m,married  ,0,1,monthly,y,2,0,good risk 
100319,31,59193,f,married  ,1,2,monthly,y,1,1,good risk 
100666,28,59179,m,married  ,1,1,monthly,y,2,1,bad loss  
100389,30,59036,m,married  ,1,1,monthly,y,2,1,good risk 
100758,38,58914,m,married  ,0,1,monthly,y,1,1,bad profit
100695,36,58878,f,married  ,1,1,monthly,y,1,0,bad profit
100769,44,58529,m,married  ,0,1,monthly,y,1,0,bad loss  
100414,34,58026,m,married  ,0,1,monthly,y,2,0,good risk 
100354,32,57718,m,married  ,1,2,monthly,y,1,1,bad profit
100567,38,57683,f,married  ,1,1,monthly,y,2,1,bad loss  
100728,28,57623,m,married  ,1,1,monthly,y,1,1,bad loss  
100665,41,57520,f,married  ,1,1,monthly,y,1,0,bad loss  
100730,43,57388,f,married  ,0,1,monthly,y,1,0,bad loss  
100412,34,56891,m,married  ,1,1,monthly,y,2,1,bad profit
100374,33,56849,m,married  ,1,1,monthly,y,1,1,good risk 
100566,38,56590,m,married  ,0,2,monthly,y,1,0,bad loss  
100421,34,56486,m,married  ,0,1,monthly,y,1,1,bad profit
100670,41,56470,m,married  ,0,2,monthly,y,1,0,bad loss  
100379,33,56087,m,married  ,1,2,monthly,y,1,1,bad profit
100292,30,56087,f,married  ,0,1,monthly,y,1,1,bad profit
100294,30,55642,f,married  ,1,2,monthly,y,1,0,good risk 
100570,38,55565,m,married  ,1,2,monthly,y,1,0,good risk 
100425,34,55497,m,married  ,1,1,monthly,y,2,1,bad profit
100592,39,55390,f,married  ,0,1,monthly,y,1,0,bad profit
100601,39,55215,m,married  ,0,2,monthly,y,2,0,good risk 
100486,36,54938,m,married  ,0,2,monthly,y,1,0,good risk 
100348,32,54792,m,married  ,1,1,monthly,y,2,0,good risk 
100450,35,54673,f,married  ,1,2,monthly,y,2,1,bad profit
100629,28,54671,m,married  ,0,2,monthly,y,1,0,good risk 
100757,44,54451,m,married  ,0,1,monthly,y,2,1,good risk 
100488,36,54021,m,married  ,1,1,monthly,y,2,1,bad profit
100383,33,54013,f,married  ,0,1,monthly,y,2,0,good risk 
100770,44,53983,f,married  ,1,2,monthly,y,2,0,bad profit
100795,45,53842,f,married  ,0,2,monthly,y,1,0,good risk 
100597,39,53731,m,married  ,0,2,monthly,y,2,1,good risk 
100794,45,53704,m,married  ,1,2,monthly,y,2,1,good risk 
100755,44,53660,f,married  ,1,1,monthly,y,1,1,good risk 
100492,36,53365,m,married  ,0,1,monthly,y,2,0,bad profit
100694,42,53307,m,married  ,0,2,monthly,y,1,1,bad loss  
100448,35,53201,m,married  ,0,1,monthly,y,2,0,good risk 
100384,33,53195,m,married  ,1,2,monthly,y,1,1,good risk 
100630,40,53180,f,married  ,1,2,monthly,y,1,0,good risk 
100381,33,53115,f,married  ,0,2,monthly,y,1,0,bad loss  
100350,32,52973,m,married  ,1,1,monthly,y,1,0,bad profit
100352,32,52961,f,married  ,1,1,monthly,y,2,1,bad profit
100385,33,52896,m,married  ,0,2,monthly,y,2,1,bad profit
100325,31,52540,f,married  ,0,2,monthly,y,1,0,bad profit
100599,39,52495,f,married  ,1,2,monthly,y,1,1,good risk 
100603,39,52173,f,married  ,0,2,monthly,y,2,0,bad profit
100727,36,51939,m,married  ,0,1,monthly,y,1,0,bad profit
100671,41,51859,f,married  ,0,2,monthly,y,1,1,bad profit
100765,44,51498,m,married  ,0,1,monthly,y,2,1,bad loss  
100797,45,51385,f,married  ,0,1,monthly,y,2,0,good risk 
100324,31,51383,f,married  ,0,2,monthly,y,2,1,bad profit
100662,37,50833,m,married  ,1,1,monthly,y,2,1,good risk 
100754,44,50816,m,married  ,0,2,monthly,y,1,1,bad profit
100621,40,50621,f,married  ,1,2,monthly,y,1,0,bad profit
100793,45,50552,m,married  ,0,1,monthly,y,2,0,good risk 
100493,36,50515,f,married  ,0,1,monthly,y,1,1,good risk 
100500,36,50302,m,married  ,1,2,monthly,y,1,0,bad profit
100322,31,50295,f,married  ,1,1,monthly,y,1,0,bad profit
100628,40,50199,f,married  ,0,1,monthly,y,2,0,bad profit
100529,37,50075,m,married  ,0,2,monthly,y,1,0,bad profit
100622,35,49600,m,married  ,1,2,monthly,y,2,1,good risk 
100605,39,49415,m,married  ,0,1,monthly,y,1,0,good risk 
100487,36,49409,m,married  ,1,2,monthly,y,1,1,good risk 
100604,39,49407,m,married  ,1,2,monthly,y,1,0,bad profit
100378,33,49075,m,married  ,1,2,monthly,y,1,0,bad profit
100382,33,49008,f,married  ,1,2,monthly,y,2,0,good risk 
100623,28,48599,m,married  ,0,1,monthly,y,1,1,bad profit
100388,33,48511,m,married  ,0,1,monthly,y,1,0,good risk 
100293,30,48336,m,married  ,1,2,monthly,y,2,0,bad loss  
100527,37,48061,f,married  ,1,2,monthly,y,1,0,good risk 
100732,43,47623,f,married  ,0,2,monthly,y,2,1,bad loss  
100422,34,47623,m,married  ,0,1,monthly,y,2,1,good risk 
100499,36,47422,f,married  ,0,2,monthly,y,1,1,bad loss  
100798,29,47111,m,married  ,0,2,monthly,y,2,1,good risk 
100759,44,47035,m,married  ,0,1,monthly,y,2,0,bad profit
100456,35,47026,m,married  ,1,2,monthly,y,1,0,good risk 
100596,39,47019,m,married  ,0,1,monthly,y,1,1,good risk 
100706,42,46965,f,married  ,1,1,monthly,y,2,1,good risk 
100491,36,46785,f,married  ,1,1,monthly,y,2,1,bad profit
100458,35,46645,m,married  ,1,1,monthly,y,2,0,bad loss  
100707,42,46119,m,married  ,1,1,monthly,y,2,0,good risk 
100625,40,45993,f,married  ,1,2,monthly,y,1,0,bad loss  
100470,36,45949,f,married  ,1,1,monthly,y,2,0,bad profit
100579,39,45904,f,married  ,1,1,monthly,y,1,0,good risk 
100453,35,45869,f,married  ,0,2,monthly,y,1,1,good risk 
100516,37,45849,m,married  ,1,2,monthly,y,2,1,bad loss  
100581,39,45841,f,married  ,1,2,monthly,y,1,0,bad loss  
100338,32,45813,f,married  ,1,1,monthly,y,1,0,bad loss  
100561,38,45721,m,married  ,0,1,monthly,y,1,1,bad profit
100684,32,45712,f,married  ,1,2,monthly,y,1,0,bad profit
100273,30,45706,f,married  ,0,2,monthly,y,1,1,good risk 
100472,36,45659,f,married  ,0,1,monthly,y,2,1,good risk 
100679,42,45584,f,married  ,1,1,monthly,y,1,0,good risk 
100683,29,45549,m,married  ,1,1,monthly,y,2,0,good risk 
100600,39,45537,m,married  ,0,2,monthly,y,1,1,good risk 
100436,35,45518,f,married  ,1,1,monthly,y,1,1,bad profit
100618,40,45463,m,married  ,0,2,monthly,y,2,1,good risk 
100763,44,45452,f,married  ,1,1,monthly,y,1,1,good risk 
100536,37,45450,f,married  ,0,1,monthly,y,2,0,bad loss  
100558,38,45419,f,married  ,0,2,monthly,y,1,0,bad loss  
100733,43,45318,m,married  ,1,1,monthly,y,1,1,bad profit
100745,44,45313,f,married  ,0,2,monthly,y,2,1,bad profit
100650,41,45283,f,married  ,1,1,monthly,y,2,1,bad profit
100588,39,45266,f,married  ,0,1,monthly,y,1,0,bad profit
100587,39,45246,f,married  ,0,1,monthly,y,1,1,bad loss  
100718,43,45240,m,married  ,0,2,monthly,y,1,1,bad loss  
100330,32,45217,m,married  ,0,1,monthly,y,1,0,good risk 
100337,32,45209,m,married  ,1,2,monthly,y,2,0,good risk 
100746,44,45194,m,married  ,1,2,monthly,y,2,1,bad loss  
100531,37,45159,f,married  ,1,1,monthly,y,1,0,bad profit
100430,35,45066,m,married  ,0,1,monthly,y,1,1,good risk 
100741,44,45001,f,married  ,0,1,monthly,y,2,1,bad profit
100285,30,44974,m,married  ,1,2,monthly,y,2,0,bad profit
100288,30,44956,f,married  ,0,2,monthly,y,1,1,bad loss  
100523,37,44936,f,married  ,1,1,monthly,y,1,0,bad profit
100691,42,44898,m,married  ,1,1,monthly,y,2,0,good risk 
100334,32,44895,f,married  ,1,2,monthly,y,1,1,bad loss  
100602,39,44892,m,married  ,1,2,monthly,y,1,0,good risk 
100764,44,44787,m,married  ,1,2,monthly,y,2,0,good risk 
100329,32,44781,m,married  ,1,1,monthly,y,1,0,good risk 
100440,35,44772,m,married  ,1,1,monthly,y,2,0,bad loss  
100677,42,44728,f,married  ,0,2,monthly,y,1,0,bad profit
100620,40,44705,f,married  ,1,1,monthly,y,1,0,good risk 
100720,43,44682,f,married  ,0,1,monthly,y,2,1,good risk 
100676,42,44597,f,married  ,1,2,monthly,y,1,0,bad loss  
100681,33,44582,f,married  ,0,1,monthly,y,2,1,bad profit
100641,41,44534,m,married  ,0,2,monthly,y,2,0,good risk 
100320,31,44483,f,married  ,0,2,monthly,y,1,0,bad profit
100549,38,44460,m,married  ,0,1,monthly,y,1,1,good risk 
100396,34,44442,m,married  ,1,1,monthly,y,1,0,bad profit
100521,37,44394,m,married  ,1,1,monthly,y,2,0,good risk 
100737,44,44306,f,married  ,0,2,monthly,y,1,1,bad profit
100615,27,44298,f,married  ,0,2,monthly,y,2,0,good risk 
100784,45,44261,m,married  ,0,1,monthly,y,1,1,good risk 
100792,32,44230,f,married  ,1,2,monthly,y,1,0,bad profit
100432,35,44202,f,married  ,0,2,monthly,y,2,0,good risk 
100445,35,44194,m,married  ,0,2,monthly,y,2,1,good risk 
100417,34,44159,m,married  ,1,1,monthly,y,2,0,bad loss  
100503,37,44095,f,married  ,0,1,monthly,y,1,0,good risk 
100790,45,44072,m,married  ,1,1,monthly,y,1,0,bad profit
100360,33,44052,f,married  ,0,2,monthly,y,1,0,good risk 
100465,36,44048,m,married  ,1,1,monthly,y,2,0,good risk 
100635,41,44039,f,married  ,1,2,monthly,y,2,1,good risk 
100736,44,44005,m,married  ,1,2,monthly,y,1,1,bad profit
100522,37,43982,m,married  ,1,2,monthly,y,2,0,good risk 
100696,42,43977,m,married  ,0,1,monthly,y,2,1,good risk 
100310,31,43972,f,married  ,0,1,monthly,y,1,1,bad profit
100353,32,43908,f,married  ,0,1,monthly,y,1,0,bad loss  
100424,34,43895,f,married  ,0,1,monthly,y,1,1,bad loss  
100439,35,43890,f,married  ,0,2,monthly,y,1,1,bad profit
100444,35,43888,m,married  ,0,1,monthly,y,2,1,bad loss  
100749,44,43876,f,married  ,1,2,monthly,y,2,1,bad profit
100511,37,43835,m,married  ,0,2,monthly,y,2,1,bad profit
100454,35,43799,m,married  ,1,1,monthly,y,2,0,good risk 
100303,31,43795,m,married  ,0,2,monthly,y,1,0,bad profit
100473,36,43750,m,married  ,1,1,monthly,y,2,1,good risk 
100624,40,43677,f,married  ,0,1,monthly,y,2,0,bad profit
100721,43,43669,m,married  ,1,1,monthly,y,1,0,good risk 
100704,42,43651,f,married  ,1,2,monthly,y,2,1,good risk 
100306,31,43650,m,married  ,0,1,monthly,y,1,0,good risk 
100645,41,43648,f,married  ,1,1,monthly,y,2,1,good risk 
100507,37,43633,f,married  ,1,1,monthly,y,1,0,bad profit
100782,29,43608,m,married  ,1,1,monthly,y,1,0,bad profit
100598,39,43514,f,married  ,1,2,monthly,y,1,0,good risk 
100405,34,43482,m,married  ,1,1,monthly,y,1,1,bad profit
100368,33,43474,m,married  ,0,1,monthly,y,1,1,good risk 
100519,37,43408,f,married  ,0,2,monthly,y,2,0,bad loss  
100724,43,43348,m,married  ,1,2,monthly,y,2,1,bad profit
100369,33,43322,f,married  ,0,2,monthly,y,1,1,bad profit
100739,44,43185,f,married  ,1,1,monthly,y,2,0,good risk 
100321,31,43185,f,married  ,0,2,monthly,y,2,0,good risk 
100729,43,43146,f,married  ,1,1,monthly,y,2,1,bad profit
100633,41,43120,m,married  ,0,1,monthly,y,2,1,bad profit
100316,31,43043,f,married  ,1,1,monthly,y,1,1,bad loss  
100471,36,42980,f,married  ,0,1,monthly,y,1,0,good risk 
100552,38,42953,m,married  ,1,2,monthly,y,1,0,good risk 
100392,34,42928,m,married  ,1,1,monthly,y,2,1,bad profit
100290,30,42926,m,married  ,0,1,monthly,y,1,0,good risk 
100699,42,42909,m,married  ,1,1,monthly,y,1,0,bad profit
100646,41,42904,m,married  ,1,1,monthly,y,2,0,good risk 
100750,30,42899,m,married  ,1,1,monthly,y,1,1,bad loss  
100612,40,42844,f,married  ,1,2,monthly,y,1,1,bad profit
100420,34,42828,f,married  ,1,1,monthly,y,1,0,bad loss  
100780,45,42823,f,married  ,1,1,monthly,y,1,1,bad profit
100518,37,42799,f,married  ,0,1,monthly,y,1,0,bad loss  
100447,35,42719,m,married  ,0,1,monthly,y,1,1,bad profit
100723,43,42715,m,married  ,0,1,monthly,y,1,0,bad profit
100582,39,42652,m,married  ,0,1,monthly,y,1,1,good risk 
100286,30,42647,f,married  ,0,2,monthly,y,1,0,bad profit
100480,36,42522,m,married  ,0,2,monthly,y,2,0,good risk 
100634,41,42519,m,married  ,1,1,monthly,y,1,1,bad profit
100308,31,42471,f,married  ,1,2,monthly,y,2,1,good risk 
100791,45,42464,m,married  ,0,2,monthly,y,1,1,good risk 
100658,41,42443,f,married  ,1,2,monthly,y,2,1,good risk 
100742,44,42440,m,married  ,1,1,monthly,y,1,0,bad loss  
100331,32,42438,m,married  ,0,1,monthly,y,1,0,good risk 
100686,29,42429,m,married  ,1,2,monthly,y,2,1,bad loss  
100332,32,42389,m,married  ,0,1,monthly,y,2,0,good risk 
